#lab name, institute, prof last name, prof first name
AG, IAS, Pausch, Hubert
AN, IAS, Niu, Mutian
AP, IAS, Ulbrich, Susanne
Agroecological Transitions, IAS, Jacobi Johanna
Biocommunication, IAS, De Moraes, Consuelo
KP, IAS, Walter, Achim
ERL, IAS, Mintchev, Stefano
GL, IAS, Buchmann, Nina
MPB, IAS, Studer, Bruno
SAE, IAS, Six, Johan
LAC, IAC, Mohr, Claudia
Atmospheric Circulation, IAC, Schemm, Sebastian
Atmospheric Dynamics, IAC, Wernli, Heini
Atmospheric Physics, IAC, Lohmann, Ulrike
Atmospheric Predictability, IAC, Domeisen, Daniela
Climate Dynamics, IAC, Wills, Robert
Climate Physics, IAC, Knutti, Reto
Climate and Water Cycle, IAC, Schär, Christoph
HYCLIMM, IAC, Brunner, Manuela
Land-Climate Dynamics, IAC, Seneviratne, Sonia
ENVCHEM, IBP, McNeill, Kristopher
ECAM, IBP, Mitrano, Denise
Environmental DNA, IBP, Deiner, Kristy
UP, IBP, Gruber, Nicolas
IEG, IBP, Winkel, Lenny
MSE, IBP, Ackermann, Martin
Physical Oceanography, IBP, Casacuberta Arola, Núria
SOILCHEM, IBP, Kretzshmar, Ruben
AE, IBZ, Jokela, Jukka
COMPBIO, IBZ, Payne, Joshua
EVO, IBZ, Velicer, Gregory
GEE, IBZ, Crowther, Tom
PE, IBZ, Hall, Alex
PEG, IBZ, Widmer, Alex
Plant Ecology, IBZ, Hille Ris Lambers, Janneke
PATH, IBZ, McDonald, Bruce
TB, IBZ, Bonhoeffer, Sebastian
FE, ITES, Bugmann, Harald
FORM, ITES, Griess, Verena
ECOLOGY, ITES, Ghazoul, Jaboury
ELE Evolution, ITES, Pellisier, Loïc
ELE Development, ITES, Jessel, Beate
POSE, ITES, Carminati, Andrea
PES, ITES, Kirchner, James W.
SOILRES, ITES, Doetteri, Sebastien
AECP, IED, Finger, Robert
CP, IED, Patt, Anthony
EPL, IED, Garret, Rachael
Food Systems Economics and Policy, IED, Meemken, Eva-Marie
WCR, IED, Bresh, David N.
